SMILES,CID,ROMol,molecular_weight,n_hba,n_hbd,logp,f_avg_pIC50,r_avg_pIC50,Ro5_fulfilled
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,DAR-DIA-23aa0b97-19,<rdkit.Chem.rdchem.Mol object at 0x1683ef220>,287.105862036,3,1,3.2876800000000017,4.573171433460783,4.83442656736938,True
O=C(Cc1cncc2ccccc12)Nc1ccccc1,DAR-DIA-23aa0b97-20,<rdkit.Chem.rdchem.Mol object at 0x1683ee1f0>,262.110613068,2,1,3.4160000000000013,4.239649776294817,4.3460404746272285,True
Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714a760b-3,<rdkit.Chem.rdchem.Mol object at 0x1683ee180>,275.082539748,3,2,2.806820000000001,5.374446822753493,5.086096223038158,True
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714a760b-6,<rdkit.Chem.rdchem.Mol object at 0x1683ee110>,260.071640716,2,1,3.2246200000000016,4.609397022087134,4.857136294212543,True
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,TRY-UNI-714a760b-12,<rdkit.Chem.rdchem.Mol object at 0x1683ee0a0>,261.066889684,2,2,3.6874200000000013,4.190380951243635,4.3401858493964935,True
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,TRY-UNI-714a760b-18,<rdkit.Chem.rdchem.Mol object at 0x1683ee030>,274.08729078000005,2,1,3.7856200000000024,4.58170257283712,4.887137275988869,True
Cc1c(N)cncc1NC(=O)Cc1cccc(C#N)c1,TRY-UNI-714a760b-19,<rdkit.Chem.rdchem.Mol object at 0x1683edfc0>,266.116761068,4,2,2.0251,4.79410412991646,4.491860124176105,True
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,TRY-UNI-714a760b-20,<rdkit.Chem.rdchem.Mol object at 0x1683edee0>,251.105862036,3,1,2.4429000000000007,4.212001184904937,4.358059610543538,True
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,TRY-UNI-714a760b-22,<rdkit.Chem.rdchem.Mol object at 0x1683edf50>,265.1215121,3,1,3.0039000000000016,4.260088777161462,4.34378750227385,True
Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,TRY-UNI-714a760b-24,<rdkit.Chem.rdchem.Mol object at 0x1683edcb0>,252.101111004,3,2,2.9057000000000004,4.004320939488378,4.306895812751573,True
COc1cc(Cl)cc(OC(=O)Nc2cccnc2)c1,AGN-NEW-891393a6-1,<rdkit.Chem.rdchem.Mol object at 0x1683edbd0>,278.045819892,4,1,3.3545000000000016,5.174936241095444,5.82002057239774,True
CS(=O)(=O)N1CCN(C(=O)CCl)CC1c1ccccc1,DUN-NEW-f8ce3686-22,<rdkit.Chem.rdchem.Mol object at 0x1683edb60>,316.064841084,3,0,1.0703,4.976239265246978,5.480357927388073,True
O=C(CCl)Nc1nc2c(S(=O)(=O)NCCc3ccccc3)cccc2s1,DUN-NEW-f8ce3686-23,<rdkit.Chem.rdchem.Mol object at 0x1683edaf0>,409.032161052,5,2,2.994600000000002,4.72347410753231,5.068154729656165,True
CC(=O)NCCc1c[nH]c2c(CN3CCN(C(=O)CCl)CC3)cccc12,DUN-NEW-f8ce3686-24,<rdkit.Chem.rdchem.Mol object at 0x1683eda80>,376.16660372,3,2,1.7295,4.760429521780716,4.939046190874318,True
CC(=O)NCCc1c[nH]c2ccc(O)cc12,JOH-MSK-a63bdd1d-4,<rdkit.Chem.rdchem.Mol object at 0x1683eda10>,218.105527688,2,3,1.5521,4.002176919254275,4.00436480540245,True
CC(C)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,DAN-LON-a5fc619e-3,<rdkit.Chem.rdchem.Mol object at 0x1683ed9a0>,342.126568748,2,0,3.6377000000000024,6.105680557688183,6.2884333729900295,True
O=C(CCl)N1CC2CC1CN2Cc1cccc(Cl)c1,DAN-LON-a5fc619e-8,<rdkit.Chem.rdchem.Mol object at 0x1683ed930>,298.06396849199996,2,0,2.3639,5.664163637835885,6.1834563471864605,True
